id,brand,model,color,registration_date,year,price_in_euro,power_kw,power_ps,transmission_type,fuel_type,fuel_consumption_l_100km,fuel_consumption_g_km,mileage_in_km,offer_description
6820,audi,Audi A7,black,06/2012,2012,21500,220,299,Automatic,Petrol,"8,2 l/100 km",194 g/km,139000.0,3.0 TFSI quattro Sportback (4GA)
22577,audi,Audi Q3,silver,04/2023,2023,53867,110,150,Automatic,Diesel,"4,5 l/100 km",118 g/km,1550.0,advanced 35 TDI S tronic + ACC + Phone Box
51585,dodge,Dodge Journey,black,06/2019,2019,23500,211,287,Automatic,Petrol,,- (g/km),46400.0,Crossraod
85377,jaguar,Jaguar E-Pace,black,03/2020,2020,31590,132,179,Automatic,Diesel,,- (g/km),67904.0,D180 AWD S NAVI W-LAN ACC LED AHK PANO
39144,bmw,BMW 118,grey,12/2019,2019,25900,103,140,Manual,Petrol,"5,4 l/100 km",122 g/km,17300.0,i M Sportpaket LED WLAN Navi Tempomat BT SHZ
90804,kia,Kia ProCeed / pro_cee'd,orange,03/2019,2019,24979,150,204,Automatic,Petrol,"7,1 l/100 km",163 g/km,42365.0,1.6 T-GDI GT Panorama Automatik Navi Kamera
49326,dacia,Dacia Duster,red,08/2019,2019,19450,96,131,Manual,Petrol,"6,3 l/100 km",145 g/km,35524.0,"II 1,3 TCe 4WD Prestige AHK DAB NAVI KAMERA PDC"
66524,ford,Ford Tourneo Custom,white,06/2017,2017,36990,96,131,Manual,Diesel,6 l/100 km,156 g/km,42800.0,/Transit Custom BEHINDERTENGER RFK
1798,audi,Audi A3,silver,10/1999,1999,1500,75,102,Manual,Petrol,8 l/100 km,- (g/km),186858.0,"8L,  motor 1.6"
20777,audi,Audi A1,yellow,06/2022,2022,20940,70,95,Manual,Petrol,"5,7 l/100 km",129 g/km,9287.0,A1 Allstreet 25 TFSI SOUND SITZH PDC+ SMART-INT.
573,alfa-romeo,Alfa Romeo Giulia,white,07/2016,2016,19500,132,179,Manual,Diesel,"4,2 l/100 km",- (g/km),148000.0,2.2 t Super 180cv
41119,bmw,BMW 320,white,07/2020,2020,27990,140,190,Automatic,Diesel Hybrid,"4,1 l/100 km",107 g/km,66250.0,d HYBRID *M-Lenk.*1.Hand*Aut.*Sitzheiz.*LED*
79137,hyundai,Hyundai IONIQ,blue,12/2017,2017,21900,88,120,Automatic,Electric,,0 g/km,33500.0,IONIQ Elektro Premium
78396,hyundai,Hyundai i30,black,05/2015,2015,12950,99,135,Manual,Petrol,"5,7 l/100 km",134 g/km,56612.0,1.6 FIFA World Cup Edition*KLIMA*5TRG*ALU*
87501,jeep,Jeep Renegade,black,03/2023,2023,28850,96,131,Automatic,Petrol,"5,7 l/100 km",141 g/km,5.0,1.5 GSE T4 48V e-Hybrid Limited MY23
53035,fiat,Fiat Panda,red,09/2011,2011,3850,51,69,Manual,Petrol,"4,9 l/100 km",113 g/km,103450.0,Lounge (150) Lim.
86068,jeep,Jeep Renegade,black,07/2016,2016,18990,103,140,Automatic,Diesel,"5,8 l/100 km",154 g/km,84500.0,Limited 2.0l MultiJet 4WD LOW 9AT
38858,bmw,BMW X2,blue,05/2019,2019,32206,141,192,Automatic,Petrol,"6,5 l/100 km",147 g/km,29112.0,xDrive20i M-Sport AHK HUD Leder Rückfahrkam.
59149,ford,Ford Focus,blue,05/2009,2009,4200,74,101,Manual,Petrol,,- (g/km),187690.0,Kombi
14654,audi,Audi S5,blue,05/2018,2018,44450,260,354,Automatic,Petrol,,- (g/km),37652.0,Sportback 3.0 TFSi+quattro+B&O+S-Sitze+Navi+
92065,kia,Kia Ceed / cee'd,black,04/2022,2022,23590,118,160,Manual,Petrol,"5,4 l/100 km",122 g/km,20.0,"Ceed 1.5 T-GDI  ""Best""+NSW+USB+Klima+RDKS+DAB+++"
29304,bmw,BMW 640,black,12/2011,2011,29900,235,320,Automatic,Petrol,"7,6 l/100 km",180 g/km,64900.0,i Coupe Schiebedach Navi Prof. Softclose
12949,audi,Audi A6,blue,06/2017,2017,39299,240,326,Automatic,Diesel,"6,2 l/100 km",164 g/km,95742.0,Avant 3.0 TDI competition quattro LED 3xS-Lin
82588,hyundai,Hyundai STARIA,grey,08/2022,2022,48890,130,177,Automatic,Diesel,"8,5 l/100 km",222 g/km,9185.0,"7-Sitzer 2.2 CRDi 8AT, 2WD (177PS) Signat"
77496,hyundai,Hyundai iX35,black,04/2011,2011,7900,85,116,Manual,Diesel,"5,3 l/100 km",139 g/km,160800.0,1.7 CRDi 2WD Comfort
44137,citroen,Citroen Berlingo,blue,07/2014,2014,20490,68,92,Manual,Diesel,"4,9 l/100 km",130 g/km,68235.0,Selection Behindertengerecht-Rampe
86591,jeep,Jeep Grand Cherokee,white,02/2019,2019,41900,184,250,Automatic,Diesel,7 l/100 km,212 g/km,86000.0,GRAND CHEROKEE 3.0 SUMMIT*PANO*LEDER*ACC*AHK*NAV
3063,audi,Audi A4,black,09/2006,2006,10990,120,163,Manual,Petrol,"8,7 l/100 km",208 g/km,137180.0,1.8 T Cabriolet*LEDER*NAVI*BOSE*PDC*AHK*
56186,fiat,Fiat 500C,blue,07/2022,2022,20990,52,71,Manual,Hybrid,"4,8 l/100 km",109 g/km,99.0,1.0 GSE HYBRID DOLCEVITA PDC NAVI KLIMAAUTOMATIK
78891,hyundai,Hyundai TUCSON,black,10/2016,2016,10250,104,141,Automatic,Diesel,"4,9 l/100 km",129 g/km,55000.0,blue Premium 2WD
88083,kia,Kia Carens,grey,07/2014,2014,13100,100,136,Automatic,Diesel,"6,1 l/100 km",159 g/km,95000.0,1.7 CRDi /PANO/NAVI/PDC/DCT
27643,bmw,BMW X1,black,12/2009,2009,7450,130,177,Manual,Diesel,"5,3 l/100 km",139 g/km,219800.0,Baureihe 20d**NAVI*PDC*AHK*SITZHZ**
70947,ford,Ford EcoSport,blue,02/2020,2020,18650,92,125,Manual,Petrol,"5,3 l/100 km",119 g/km,36236.0,1.0 EcoBoost Cool&Connect*NAVI*SITZHZG*
43300,cadillac,Cadillac Escalade,white,07/2017,2017,69971,313,426,Automatic,Petrol,"12,6 l/100 km",287 g/km,64388.0,6.2 ESV PLATINUM ULTRA PAKET TOP 1.HAND
93198,kia,Kia Ceed / cee'd,white,06/2023,2023,34500,150,204,Automatic,Petrol,"6,5 l/100 km",147 g/km,2990.0,Ceed 1.6 T-GDi DCT GT Navi Glasdach!
17683,audi,Audi A6,black,01/2019,2019,39700,210,286,Automatic,Diesel,"5,9 l/100 km",155 g/km,77600.0,50 TDI Avant S-line B&O 360° VIRTUAL 19`Alu
86083,jeep,Jeep Compass,black,08/2016,2016,18490,125,170,Automatic,Petrol,9 l/100 km,213 g/km,31818.0,Limited 4x4*NAVI*Kamera*LEDER*SHZ*
14376,audi,Audi A6,white,12/2017,2017,31940,140,190,Automatic,Petrol,,- (g/km),54516.0,1.8 TFSI ultra S tronic S-Line Navi SD LED
8975,audi,Audi A6,black,11/2014,2014,30500,235,320,Automatic,Diesel,"6,2 l/100 km",164 g/km,146500.0,Avant FL 3.0 TDI quattro 3xS-Line RS6 ACC LED LUFT
41894,bmw,BMW M4,white,05/2021,2021,77490,375,510,Automatic,Petrol,"10,2 l/100 km",234 g/km,70701.0,Coupe Competition*Laser*Garantie*Finanzierung
40054,bmw,BMW 320,white,04/2019,2019,26990,140,190,Automatic,Diesel,"4,1 l/100 km",160 g/km,38652.0,d Advantage Aut.*CAM*NAVI*SHZ*PDC*TEMPO*
8646,audi,Audi RS7,grey,08/2014,2014,84970,435,591,Automatic,Petrol,"9,8 l/100 km",232 g/km,56412.0,SB 4.0 Prior-Widebody*Akrapovic*Keram*Carb*
19936,audi,Audi SQ5,grey,06/2021,2021,67965,251,341,Automatic,Diesel,7 l/100 km,185 g/km,24837.0,Sportback 3.0 TDI quattro tiptronic Navi AHK
17150,audi,Audi A1,green,12/2019,2019,18990,85,116,Manual,Petrol,"4,9 l/100 km",111 g/km,35800.0,30 TFSI Sportback*1Hd*6Gang*Navi*PDC*CarPlay*
71961,ford,Ford Puma,silver,07/2020,2020,21590,92,125,Manual,Petrol,"4,6 l/100 km",106 g/km,17200.0,Titanium 1.0l EcoB. *Parkassistent-Sitzhzg* -EURO6
60374,ford,Ford Transit,white,08/2011,2011,8950,63,86,Manual,Diesel,,- (g/km),219441.0,2.2 TDCi L2H2 3-Sitzer AHK 63KW Euro 4
76747,honda,Honda Civic,black,08/2018,2018,18990,88,120,Manual,Diesel,"3,5 l/100 km",93 g/km,111000.0,1.6 i-DTEC Executive | ACC | NAVI | PANO
8796,audi,Audi A5,grey,08/2014,2014,19990,125,170,Unknown,Petrol,,- (g/km),102000.0,S-line
91448,kia,Kia Soul,black,02/2021,2021,30979,150,204,Automatic,Electric,,0 g/km,12029.0,e-Soul SPIRIT 3-Phasen-Lader 1.Hand
436,alfa-romeo,Alfa Romeo Giulietta,red,06/2012,2012,7600,88,120,Manual,Petrol,,0 g/km,123612.0,1.4 TB 16V
19449,audi,Audi Q5,silver,01/2020,2020,42860,185,252,Automatic,Hybrid,,45 km Reichweite,94968.0,TFSIe S-Line virtual Cockpit Matrix B&O AHK
25821,bmw,BMW Z4,black,04/2006,2006,11111,110,150,Manual,Petrol,"7,5 l/100 km",181 g/km,204000.0,roadster 2.0i
22055,audi,Audi Q8 e-tron,brown,06/2023,2023,77950,250,340,Automatic,Electric,,438 km Reichweite,1100.0,Q8 S line 50 e-tron quattro+MATRIX+PANO+SOUND
3060,audi,Audi A4,black,01/2006,2006,4999,103,140,Manual,Diesel,6 l/100 km,161 g/km,221000.0,Avant 2.0 TDI
82990,hyundai,Hyundai IONIQ,silver,07/2022,2022,40980,77,105,Automatic,Hybrid,"4,2 l/100 km",97 g/km,6829.0,Hybrid 1.6 GDI Trend
80636,hyundai,Hyundai i30,grey,03/2019,2019,22000,202,275,Manual,Petrol,"7,8 l/100 km",- (g/km),70000.0,i30 2.0 T-GDI N Performance
61870,ford,Ford Transit,red,08/2014,2014,13900,114,155,Manual,Diesel,"7,9 l/100 km",209 g/km,175154.0,"350 L5 HA Basis    PRITCHE    PLANE   3,5   T"
68324,ford,Ford S-Max,white,11/2018,2018,24950,140,190,Automatic,Diesel,"5,8 l/100 km",153 g/km,96663.0,"ST-Line AWD ACC Alcantara LED+ AHK 18"""
11837,audi,Audi A6,grey,02/2016,2016,39900,240,326,Automatic,Diesel,"6,2 l/100 km",164 g/km,138000.0,3.0 TDI compet. *Fond* Mega Ausstattung*Nardo
10733,audi,Audi A6,black,12/2015,2015,24900,160,218,Automatic,Diesel,"5,1 l/100 km",- (g/km),145000.0,A6 Avant 3.0 TDI quattro S tronic
32127,bmw,BMW 535,grey,11/2014,2014,26500,308,419,Automatic,Diesel,"6,4 l/100 km",- (g/km),23700.0,535d xDrive Gran Tursimo Aut. Modern Line
9877,audi,Audi A3,blue,11/2015,2015,17980,110,150,Manual,Petrol,"4,7 l/100 km",111 g/km,84900.0,Sportback 2.0 TDI Ambiente LED+bluetooth+Klimaa...
43194,bmw,BMW 120,white,05/2023,2023,45689,131,178,Automatic,Petrol,6 l/100 km,145 g/km,10.0,i Edition Colorvision. Sportpaket. Navi. Automatik
12910,audi,Audi A4,blue,11/2017,2017,23000,140,190,Automatic,Diesel,5 l/100 km,- (g/km),97023.0,A4 Avant 2.0 TDI ultra S tronic sport
93739,lamborghini,Lamborghini Huracan,red,03/2019,2019,319900,471,640,Automatic,Petrol,"13,7 l/100 km",314 g/km,11600.0,Performante LP640-4
71937,ford,Ford Fiesta,silver,01/2020,2020,14450,63,86,Manual,Petrol,"5,2 l/100 km",117 g/km,23833.0,1.1 Cool&Connect Winterpaket/Kamera/Navi
76659,honda,Honda Civic,grey,05/2018,2018,32400,235,320,Manual,Petrol,"7,7 l/100 km",176 g/km,53000.0,2.0 VTEC Turbo Type R GT
45721,citroen,Citroen C4 Picasso,white,04/2019,2019,23900,96,131,Manual,Diesel,4 l/100 km,106 g/km,74277.0,BlueHDi 130 SELECTION
49594,dacia,Dacia Logan,blue,09/2020,2020,14500,66,90,Automatic,Petrol,"5,5 l/100 km",125 g/km,7800.0,"MCV II Kombi Comfort Automatik,PDC,Temp"
77612,hyundai,Hyundai i30,black,02/2012,2012,5700,80,109,Manual,Petrol,"6,1 l/100 km",142 g/km,105000.0,1.4 Edition 20-PDC-Klima
70684,ford,Ford Fiesta,white,02/2019,2019,14999,147,200,Manual,Petrol,6 l/100 km,136 g/km,122000.0,ST Performance Paket
28529,bmw,BMW 750,black,06/2010,2010,14800,300,408,Automatic,Petrol,"11,9 l/100 km",- (g/km),202000.0,Li Xdrive Leder Bi Xenon 20 Zoll Head Up
86127,jeep,Jeep Renegade,white,11/2016,2016,13500,81,110,Manual,Petrol,"6,1 l/100 km",145 g/km,83000.0,1.6 Dawn Of Justice  AHK
19328,audi,Audi A4,silver,07/2020,2020,29900,210,286,Automatic,Diesel,,- (g/km),38117.0,3.0 TDI QUATTRO ADVANCED AUTOMATIK Schiebedac
58599,ford,Ford S-Max,blue,09/2007,2007,3600,103,140,Manual,Diesel,"6,4 l/100 km",169 g/km,256000.0,2.0 TDCi DPF Ambiente
2284,audi,Audi A8,silver,03/2003,2003,7500,246,334,Automatic,LPG,"11,9 l/100 km",286 g/km,380000.0,4.2 quattro
6337,audi,Audi RS3,grey,10/2012,2012,33750,250,340,Automatic,Petrol,"9,1 l/100 km",216 g/km,70900.0,Sportback quattro | KW CS2 | Evo 3 | 420 PS
62450,ford,Ford Grand C-Max,white,12/2014,2014,12490,134,182,Manual,Petrol,"6,4 l/100 km",149 g/km,107300.0,1.6 EcoBoost Titanium Sitzheizung PDC
16722,audi,Audi S3,blue,12/2019,2019,32490,221,300,Automatic,Petrol,"8,2 l/100 km",185 g/km,44900.0,2.0 TFSI qua S-tronic Navi Pano Led
90066,kia,Kia Stonic,yellow,03/2019,2019,16831,74,101,Manual,Petrol,,0 g/km,24992.0,1.0 TGDI Drive sofort verfügbar
11009,audi,Audi TT,white,06/2015,2015,24999,135,184,Manual,Diesel,"4,7 l/100 km",124 g/km,105776.0,"2.0 TDI|S-Line Plus|Matrix|Navi|20"" LM|KW V3"
42411,bmw,BMW 120,black,06/2022,2022,37490,131,178,Automatic,Petrol,"5,8 l/100 km",134 g/km,20000.0,i M Sport LED Navi Pano Kamera SHZ Klimaauto PDC
5476,audi,Audi A3,grey,06/2011,2011,12980,118,160,Manual,Petrol,"7,3 l/100 km",173 g/km,77226.0,1.8 TFSI Ambiente quattro/1.Hd/Navi/Klimatr
94371,land-rover,Land Rover Range Rover Sport,black,04/2016,2016,36990,225,306,Automatic,Diesel,7 l/100 km,185 g/km,163000.0,SDV6 HSE Dynamic
1990,audi,Audi A4,silver,03/2001,2001,1900,96,131,Manual,Petrol,"8,2 l/100 km",197 g/km,236000.0,2.0 Lim. (8E)
96194,land-rover,Land Rover Discovery Sport,white,01/2020,2020,38950,147,200,Automatic,Petrol,8 l/100 km,180 g/km,58600.0,P200 S PANORAMA DAB SITZHEIZUNG
42991,bmw,BMW M4,green,05/2023,2023,113760,375,510,Automatic,Petrol,"9,8 l/100 km",223 g/km,1001.0,Competition M Drivers P+Head-Up+h&k
87700,kia,Kia Rio,blue,09/2009,2009,2699,71,97,Manual,Petrol,"6,2 l/100 km",147 g/km,97000.0,1.4 Attract *TÜV 03 2025*AH*KLIMA*1A ZUSTAND
34680,bmw,BMW 730,grey,11/2016,2016,35000,195,265,Automatic,Diesel,"5,7 l/100 km",- (g/km),142800.0,730d xDrive HK Soundsystem|
3981,audi,Audi A6,silver,07/2008,2008,5999,171,232,Manual,Diesel,"8,1 l/100 km",- (g/km),328500.0,♥️Avant 3.0 TDI V6 QUATTRO AHK ♥️
74705,ford,Ford,orange,08/2022,2022,48440,110,150,Manual,Diesel,,-/-,16337.0,Tourneo Custom 320 L2H1 VA Titanium Xenon*Navi
31633,bmw,BMW 318,black,06/2013,2013,13500,105,143,Automatic,Diesel,"4,5 l/100 km",119 g/km,177800.0,"d Touring AUTOM. NAVI XENON SHZ PDC TEMPO 17"""
3116,audi,Audi A3,black,10/2006,2006,5799,77,105,Manual,Diesel,5 l/100 km,134 g/km,187300.0,1.9 TDI Sportback Ambition
70789,ford,Ford Ranger,orange,09/2019,2019,38940,147,200,Automatic,Diesel,"8,7 l/100 km",228 g/km,46704.0,Autm. Wildtrak
54185,fiat,Fiat Talento,white,08/2017,2017,11990,89,121,Manual,Diesel,,0 g/km,68300.0,"Kasten Basis 1,6 Multijet  Klima AHK Kamera"
74356,ford,Ford Kuga,black,01/2022,2022,29550,88,120,Automatic,Diesel,"5,4 l/100 km",141 g/km,14631.0,1.5 EcoBlue Aut. ST-LINE
17390,audi,Audi A1,red,06/2019,2019,24990,147,200,Automatic,Petrol,6 l/100 km,137 g/km,28800.0,Sportback 40 TFSI S line /LED/CarPlay/Virtual
79152,hyundai,Hyundai i10,blue,06/2017,2017,8750,64,87,Manual,Petrol,"4,9 l/100 km",116 g/km,79972.0,YES!~2.HD~8-fach bereift~Blueth.~Tempomat
46795,citroen,Citroen C5 Aircross,blue,01/2021,2021,27450,133,181,Automatic,Petrol,"5,6 l/100 km",125 g/km,15000.0,Pure Tech 180 S&S EAT8 Shine Pack
47717,dacia,Dacia Sandero,blue,07/2009,2009,3990,55,75,Manual,Petrol,7 l/100 km,166 g/km,133700.0,Ambiance 1.4
31844,bmw,BMW 520,white,01/2013,2013,18980,135,184,Automatic,Diesel,"5,1 l/100 km",134 g/km,97000.0,d Touring*AUTOMATIK*KLIMAAUTOMATIK*NAVI*ALU*
67626,ford,Ford Kuga,black,11/2018,2018,17600,110,150,Manual,Petrol,7 l/100 km,- (g/km),76500.0,"1.5 EcoBoost 2x4 Titanium, PDC, NAV"
9624,audi,Audi A1,white,09/2014,2014,10995,63,86,Manual,Petrol,5 l/100 km,116 g/km,115850.0,1.2 TFSI Ambition Teilleder S-Hzg PDC Alu
6938,audi,Audi A4,black,11/2012,2012,21000,130,177,Manual,Diesel,"4,8 l/100 km",126 g/km,272000.0,Avant 2.0 TDI
22162,audi,Audi RS5,grey,05/2023,2023,97390,331,450,Automatic,Petrol,"9,9 l/100 km",225 g/km,2900.0,RS5 Sportback
27911,bmw,BMW 525,silver,06/2009,2009,5500,145,197,Automatic,Diesel,7 l/100 km,187 g/km,287000.0,d xDrive Touring (E61)
67095,ford,Ford Mondeo,grey,11/2018,2018,23490,110,150,Automatic,Diesel,5 l/100 km,0 g/km,94224.0,Business LED*AHK*ACC*ASSISTENTEN*NAVI*PDC
48692,dacia,Dacia Sandero,blue,10/2018,2018,13990,66,90,Manual,Petrol,"5,5 l/100 km",115 g/km,68220.0,II 0.9 Stepway Prestige Navi Kamera PDC
30463,bmw,BMW 118,black,01/2012,2012,13690,125,170,Manual,Petrol,"5,8 l/100 km",134 g/km,106552.0,i AdapXENON/NaviProf/S-DACH/TEMPO/SH/SPEED
86550,jeep,Jeep Renegade,silver,11/2019,2019,22790,111,151,Automatic,Petrol,,159 g/km,18000.0,1.3 Autom. Leder/Navi+Cam/Panorama/Ahk
64572,ford,Ford S-Max,silver,02/2016,2016,12900,110,150,Manual,Diesel,5 l/100 km,129 g/km,213000.0,2.0 TDCi Trend
47959,dacia,Dacia Dokker,white,01/2014,2014,4299,85,116,Manual,Petrol,"5,8 l/100 km",- (g/km),191369.0,TCe 115 Laureate
96236,land-rover,Land Rover Discovery Sport,white,03/2020,2020,42880,110,150,Automatic,Diesel,"5,6 l/100 km",100 g/km,83567.0,D240 HSE *AHK und HUD*
48581,dacia,Dacia Duster,blue,01/2018,2018,13688,84,114,Manual,Petrol,"6,4 l/100 km",145 g/km,25442.0,1.6 SCe 115 Nav Klima NSW
96469,land-rover,Land Rover Defender,grey,09/2022,2022,85750,221,300,Automatic,Diesel,"7,8 l/100 km",205 g/km,16000.0,"110 D300 X-Dynamic SE 221 kW, 5-türig (Di"
32270,bmw,BMW X5,grey,04/2014,2014,32999,280,381,Automatic,Diesel,"6,6 l/100 km",175 g/km,145900.0,"M50,Head-UP,AHK,N-Prof.LED,Glasd"
84112,hyundai,Hyundai i20,white,03/2023,2023,17950,62,84,Manual,Petrol,"5,6 l/100 km",127 g/km,877.0,Klimaanlage
99595,mazda,Mazda CX-5,grey,01/2019,2019,24680,129,175,Automatic,Diesel,"5,8 l/100 km",152 g/km,64567.0,Sports-Line/LEDER/NAVI/XENON/AHK/HUD/LED
89195,kia,Kia Carens,white,03/2017,2017,15770,99,135,Manual,Petrol,"6,5 l/100 km",150 g/km,41790.0,"1.6 GDI ""Attract"" Klima*Tempomat*"
74688,ford,Ford Ranger,orange,08/2022,2022,50470,156,212,Automatic,Diesel,"7,8 l/100 km",225 g/km,10.0,DoKa Wildtrak 213PS Aut./Standh. -22%*
3755,audi,Audi A6,black,11/2008,2008,9990,140,190,Manual,Petrol,"8,2 l/100 km",191 g/km,129554.0,2.8 FSI Facelift Leder Xenon Navi
17734,audi,Audi Q8,black,04/2019,2019,66780,210,286,Automatic,Diesel,"8,1 l/100 km",212 g/km,57588.0,50 quattro S LINE BLACKPAK CAM LED LM21 LUFT
49464,dacia,Dacia Dokker,white,09/2019,2019,14840,75,102,Manual,Petrol,"6,8 l/100 km",173 g/km,35795.0,Express SCe 100 Essential
36373,bmw,BMW 530,grey,12/2017,2017,32970,195,265,Automatic,Diesel,"4,5 l/100 km",118 g/km,99881.0,d Lim. *AHK*LED*NAVI*GD*HUD*SHZ*ACC*PDC*RFK*HiF...
78112,hyundai,Hyundai iX35,silver,09/2014,2014,11490,99,135,Manual,Petrol,"51,8 l/100 km",119 g/km,90000.0,1.Hand FIFA World Cup Edition 2WD TÜV NEU
18917,audi,Audi A4,grey,02/2020,2020,34997,140,190,Automatic,Diesel,"5,9 l/100 km",154 g/km,64000.0,Avant 40 TDI QUATTRO S-LINE BLACK EDITION ONE
70577,ford,Ford Transit Custom,white,07/2019,2019,24395,96,131,Manual,Diesel,"7,6 l/100 km",168 g/km,99200.0,280 L1 Klima Navi Sitzheizung AHK
3134,audi,Audi A4,silver,04/2006,2006,5499,120,163,Automatic,Petrol,"8,6 l/100 km",206 g/km,256353.0,Cabriolet 1.8 T TÜV 07/23 SHZ Klimaauto BOSE Sound
199,alfa-romeo,Alfa Romeo Brera,black,04/2006,2006,7999,136,185,Manual,Petrol,"9,4 l/100 km",- (g/km),153000.0,2.2 JTS 16V Sky View
29782,bmw,BMW X1,silver,06/2011,2011,8900,130,177,Automatic,Diesel,"6,2 l/100 km",- (g/km),283000.0,X1 xDrive20d Aut.
93006,kia,Kia ProCeed / pro_cee'd,black,06/2023,2023,32688,150,204,Automatic,Petrol,"6,8 l/100 km",161 g/km,10.0,GT 1.6 T-GDI !!Neues MJ 23 mit neuem Kia Logo!!
46938,citroen,Citroen C3 Aircross,grey,07/2022,2022,22590,96,131,Automatic,Petrol,- (l/100 km),- (g/km),5000.0,1.2 130PS Automatik C-Series LED-Scheinw. Klima...
95295,land-rover,Land Rover Range Rover Sport,grey,05/2019,2019,42850,183,249,Automatic,Diesel,"7,5 l/100 km",198 g/km,59515.0,3.0 SDV6 183 S
72189,ford,Ford Mustang,white,01/2020,2020,33490,233,317,Automatic,Petrol,,- (g/km),35700.0,2.3 EcoBoost Cabrio * Mach 1 Optik *
20108,audi,Audi Q5,black,01/2021,2021,39970,220,299,Automatic,Petrol,,45 km Reichweite,43120.0,S-Line 50TFSI e qu. Stronic Navi LED GRA EPH
30699,bmw,BMW X1,silver,07/2012,2012,9499,130,177,Manual,Diesel,"5,8 l/100 km",153 g/km,185550.0,Baureihe X1 xDrive 20d*BI-XENON*KLIMATRONIC*
91868,kia,Kia Ceed SW / cee'd SW,bronze,06/2022,2022,24499,118,160,Manual,Petrol,"5,9 l/100 km",135 g/km,10620.0,1.5 T-GDI LED|Navi|RFK|SHZ|Temp.
91459,kia,Kia ProCeed / pro_cee'd,black,03/2021,2021,28980,150,204,Automatic,Petrol,"7,2 l/100 km",163 g/km,29903.0,1.6TGDi GT Line Bi-LED Panorama ACC
47701,dacia,Dacia Sandero,blue,06/2009,2009,990,55,75,Manual,Petrol,7 l/100 km,166 g/km,283000.0,"1.4 MPI, 2.Hand"
64527,ford,Ford EcoSport,silver,08/2016,2016,13890,92,125,Manual,Petrol,"5,4 l/100 km",125 g/km,37030.0,"Titanium 1,0 Leder Navi Kamera"
21469,audi,Audi Q3,silver,05/2022,2022,44644,110,150,Automatic,Diesel,"4,5 l/100 km",119 g/km,8600.0,Sportback 35 2.0 TDI S-tronic AHK ACC LED
93212,kia,Kia Ceed / cee'd,white,06/2023,2023,33490,150,204,Automatic,Petrol,"6,8 l/100 km",154 g/km,15.0,CEED 1.6 T-GDI DCT7 GT MJ23 GLASDACH KOMFORT
24695,bmw,BMW 330,blue,05/2004,2004,3500,170,231,Automatic,LPG,"9,6 l/100 km",229 g/km,351000.0,Cabrio 330 Ci *M-Paket*M
28210,bmw,BMW 320,grey,08/2010,2010,7990,125,170,Manual,Petrol,"6,2 l/100 km",147 g/km,182000.0,i Touring°Xenon°Edition Lifestyle°Pdc°MFL°SHZ
95631,land-rover,Land Rover Range Rover Evoque,black,08/2019,2019,51900,132,179,Automatic,Diesel,"5,8 l/100 km",149 g/km,38200.0,"D180R-Dynamic S mit 20"" Räder"
74849,ford,Ford Tourneo Custom,blue,04/2023,2023,49490,125,170,Automatic,Diesel,"6,2 l/100 km",231 g/km,10.0,Titanium L1 Automatik - Navi - Kamera - FGS
28304,bmw,BMW 523,black,05/2010,2010,11840,140,190,Automatic,Petrol,"7,9 l/100 km",186 g/km,100000.0,i touring Aut./Panorama/Navi/Xenon/PDC
8171,audi,Audi A1,white,06/2013,2013,10990,77,105,Manual,Diesel,"3,8 l/100 km",101 g/km,99800.0,Ambition | 1.Hand | Panorama | Navi | Pdc | TOP
95696,land-rover,Land Rover Discovery Sport,silver,11/2019,2019,33350,177,241,Automatic,Diesel,"5,6 l/100 km",148 g/km,87000.0,R-Dynamic AWD Automatik EU6 dT LED Navi
64509,ford,Ford Fiesta,silver,04/2016,2016,9800,74,101,Automatic,Petrol,"4,9 l/100 km",114 g/km,123362.0,1.0 EcoBoost Trend  Automatik !!!
44857,citroen,Citroen Jumpy,white,11/2017,2017,22999,132,179,Automatic,Diesel,"5,7 l/100 km",151 g/km,99650.0,Kasten Business M~TEMPOMAT
2115,audi,Audi A2,silver,04/2002,2002,2050,55,75,Manual,Diesel,"4,5 l/100 km",- (g/km),368000.0,A2 1.4 TDI
32818,bmw,BMW i3,silver,04/2014,2014,14980,125,170,Automatic,Electric,,0 g/km,65800.0,i3 60 Ah*Klimaauto/Wärmepumpe/Navi-Prof./SHZ*
34958,bmw,BMW 116,black,06/2016,2016,11490,80,109,Manual,Petrol,"5,4 l/100 km",128 g/km,110081.0,"i Lim. 5-trg. *Navi, Klimaautomatik, Sitzheizung*"
91793,kia,Kia Ceed SW / cee'd SW,blue,11/2022,2022,27190,118,160,Automatic,Petrol,"5,4 l/100 km",123 g/km,7000.0,Ceed SW AT Navi*17 Zoll*Keyless*Sitz+Lenkradhzg
29654,bmw,BMW 520,black,09/2011,2011,12500,135,184,Automatic,Diesel,"4,9 l/100 km",- (g/km),184846.0,520d Touring Sport-Aut.
83122,hyundai,Hyundai KONA,white,05/2022,2022,32000,150,204,Automatic,Electric,,484 km Reichweite,13500.0,Elektro  CarPlay Sitzheizung Navi Kamera
54496,fiat,Fiat 124 Spider,white,01/2018,2018,23990,103,140,Manual,Petrol,"6,4 l/100 km",148 g/km,46499.0,Lusso 1.4 MultiAir Turbo/LED/Leder/NAVI/BOSE
40171,bmw,BMW X2,blue,03/2020,2020,32389,140,190,Automatic,Diesel,"4,6 l/100 km",130 g/km,30000.0,xDrive ACC Head up LED SHZ 2x PDC Navi
